year_1,year_2,nhgisnam_1,nhgisst_1,nhgiscty_1,icpsrst_1,icpsrcty_1,icpsrnam_1,statenam_1,gisjoin_1,nhgisnam_2,nhgisst_2,nhgiscty_2,icpsrst_2,icpsrcty_2,icpsrnam_2,statenam_2,gisjoin_2,area_1,area_2,area_intersection,weight_value,weight_count
1800,1840,Ulster,360,1110,13,1110,ULSTER,New York,G3601110,Greene,360,0390,13,390,GREENE,New York,G3600390,5595385559.44427,1704542562.68618,7240530.22713876,0.00129401810656599,0.00424778493986589
1800,1840,Greene,360,0390,13,390,GREENE,New York,G3600390,Greene,360,0390,13,390,GREENE,New York,G3600390,1729488626.45092,1704542562.68618,1697302036.18377,0.981389533429196,0.995752217245311
1800,1840,Barnstable,250,0010,3,10,BARNSTABLE,Massachusetts,G2500010,Barnstable,250,0010,3,10,BARNSTABLE,Massachusetts,G2500010,1087060716.26913,1087060716.26913,1087060716.26913,1,1
1800,1840,Ohio,210,1830,51,1830,OHIO,Kentucky,G2101830,Grayson,210,0850,51,850,GRAYSON,Kentucky,G2100850,4600050690.09948,1323096070.67858,468819157.029283,0.101916084976695,0.35433493260156
1800,1840,Hardin,210,0930,51,930,HARDIN,Kentucky,G2100930,Grayson,210,0850,51,850,GRAYSON,Kentucky,G2100850,4891210986.66956,1323096070.67858,854276913.649294,0.174655502691977,0.645665067398439
1800,1840,Unorganized,185,0315,,,,Indiana Territory,G1850315,Kent,260,0810,23,810,KENT,Michigan,G2600810,365637392255.945,6343570991.13211,6343570991.13211,0.0173493497259483,1
1800,1840,Knox,185,0115,,,,Indiana Territory,G1850115,Clay,180,0210,22,210,CLAY,Indiana,G1800210,144594056125.754,933410977.434199,933410977.434199,0.0064553896781373,1
1800,1840,Suffolk,360,1030,13,1030,SUFFOLK,New York,G3601030,Suffolk,360,1030,13,1030,SUFFOLK,New York,G3601030,2416189172.24299,2416189172.24299,2416189172.24299,1,1
1800,1840,Indian Lands,130,1535,,,Indian Lands,Georgia,G1301535,Rabun,130,2410,44,2410,RABUN,Georgia,G1302410,258007915221.488,997896511.542969,997896511.542969,0.00386769727853628,1
1800,1840,Nicholas,210,1810,51,1810,NICHOLAS,Kentucky,G2101810,Fleming,210,0690,51,690,FLEMING,Kentucky,G2100690,717252004.348553,1381307230.13356,59018921.019844,0.0822847767061288,0.042726860275782
1800,1840,Fleming,210,0690,51,690,FLEMING,Kentucky,G2100690,Fleming,210,0690,51,690,FLEMING,Kentucky,G2100690,1330240516.46957,1381307230.13356,1322288309.11371,0.994021977787166,0.957273139724211
1800,1840,Morris,340,0270,12,270,MORRIS,New Jersey,G3400270,Morris,340,0270,12,270,MORRIS,New Jersey,G3400270,1246520576.66855,1246520576.66855,1246520576.66855,1,1
1800,1840,St Clair,185,0155,,,,Indiana Territory,G1850155,Scott,170,1710,21,1710,SCOTT,Illinois,G1701710,22742096129.3728,654659829.960394,654659829.960395,0.028786257266535,1
1800,1840,York,250,0275,2,310,YORK,Massachusetts,G2500275,Franklin,230,0070,2,70,FRANKLIN,Maine,G2300070,6883460912.79675,4512904788.58788,420238745.898218,0.0610505022432785,0.0931193467588564
1800,1840,Cumberland,250,0055,2,50,CUMBERLAND,Massachusetts,G2500055,Franklin,230,0070,2,70,FRANKLIN,Maine,G2300070,9814998055.86865,4512904788.58788,3369645946.47969,0.34331600753246,0.746668964743232
1800,1840,Kennebec,250,0155,2,110,KENNEBEC,Massachusetts,G2500155,Franklin,230,0070,2,70,FRANKLIN,Maine,G2300070,21525296517.4133,4512904788.58788,723020056.310778,0.0335893192331115,0.160211679656777
1800,1840,Guilford,370,0810,47,810,GUILFORD,North Carolina,G3700810,Guilford,370,0810,47,810,GUILFORD,North Carolina,G3700810,1703451611.30655,1703451611.30655,1703451611.30655,1,1
1800,1840,Perquimans,370,1430,47,1430,PERQUIMANS,North Carolina,G3701430,Perquimans,370,1430,47,1430,PERQUIMANS,North Carolina,G3701430,642382356.915303,642382356.915303,642382356.915303,1,1
1800,1840,Indian Lands (No Population),470,0855,,,Indian Lands (No Population),Tennessee,G4700855,Rhea,470,1430,54,1430,RHEA,Tennessee,G4701430,72335468810.2163,878013096.925538,878013096.925538,0.012138071562502,1
1800,1840,York,250,0275,2,310,YORK,Massachusetts,G2500275,York,230,0310,2,310,YORK,Maine,G2300310,6883460912.79675,2631152386.76295,2631152386.76304,0.38224265672397,1.00000000000003
1800,1840,Steuben,360,1010,13,1010,STEUBEN,New York,G3601010,Livingston,360,0510,13,510,LIVINGSTON,New York,G3600510,5991151967.95863,1434682904.95176,42718493.9276121,0.00713026378834581,0.0297755648862691
1800,1840,Ontario,360,0690,13,690,ONTARIO,New York,G3600690,Livingston,360,0510,13,510,LIVINGSTON,New York,G3600510,21724315372.5847,1434682904.95176,1391964411.02417,0.0640740289003898,0.970224435113747
1800,1840,Green,210,0870,51,870,GREEN,Kentucky,G2100870,Russell,210,2070,51,2070,RUSSELL,Kentucky,G2102070,3428166170.47974,732518061.01182,554471220.962681,0.161739890480597,0.756938634655363
1800,1840,Cumberland,210,0570,51,570,CUMBERLAND,Kentucky,G2100570,Russell,210,2070,51,2070,RUSSELL,Kentucky,G2102070,2511655872.66153,732518061.01182,158889379.60699,0.0632608078743763,0.216908480573869
1800,1840,Pulaski,210,1990,51,1990,PULASKI,Kentucky,G2101990,Russell,210,2070,51,2070,RUSSELL,Kentucky,G2102070,3223017389.36212,732518061.01182,19157465.0927714,0.00594395337611345,0.0261528911195846
1800,1840,Knox,185,0115,,,,Indiana Territory,G1850115,Gibson,180,0510,22,510,GIBSON,Indiana,G1800510,144594056125.754,1292543718.84031,1292543718.84031,0.00893912069052255,1
1800,1840,Unorganized,185,0315,,,,Indiana Territory,G1850315,Pike,170,1490,21,1490,PIKE,Illinois,G1701490,365637392255.945,2198568339.81429,2198568339.8143,0.00601297456545503,1
1800,1840,Fairfax,510,0590,40,590,FAIRFAX,Virginia,G5100590,Fairfax,510,0590,40,590,FAIRFAX,Virginia,G5100590,1075076525.58105,1075076525.58105,1075076525.58105,1,1
1800,1840,Indian Lands,130,1535,,,Indian Lands,Georgia,G1301535,Carroll,130,0450,44,450,CARROLL,Georgia,G1300450,258007915221.488,2010147873.14018,2010147873.14018,0.00779103180386754,1
1800,1840,Williamson,470,1870,54,1870,WILLIAMSON,Tennessee,G4701870,Williamson,470,1870,54,1870,WILLIAMSON,Tennessee,G4701870,1208940026.54256,1668541664.14021,1184883198.33033,0.98010089195158,0.71013102267416
1800,1840,Indian Lands (No Population),470,0855,,,Indian Lands (No Population),Tennessee,G4700855,Williamson,470,1870,54,1870,WILLIAMSON,Tennessee,G4701870,72335468810.2163,1668541664.14021,418419063.270222,0.0057844245727917,0.250769322854057
1800,1840,Davidson,470,0370,54,370,DAVIDSON,Tennessee,G4700370,Williamson,470,1870,54,1870,WILLIAMSON,Tennessee,G4701870,2472367676.48698,1668541664.14021,65239401.4503931,0.0263874188579802,0.0390996538189597
1800,1840,Washington,385,0195,24,1670,WASHINGTON,Northwest Territory,G3850195,Jackson,390,0790,24,790,JACKSON,Ohio,G3900790,22077789511.7333,1328509776.49148,369550481.864422,0.0167385635082726,0.27816918505514
1800,1840,Ross,385,0115,24,1410,ROSS,Northwest Territory,G3850115,Jackson,390,0790,24,790,JACKSON,Ohio,G3900790,17091793967.7411,1328509776.49148,594334680.627567,0.0347731011589134,0.447369444429057
1800,1840,Adams,385,0015,24,10,ADAMS,Northwest Territory,G3850015,Jackson,390,0790,24,790,JACKSON,Ohio,G3900790,4640100438.16842,1328509776.49148,364624613.973966,0.0785811899618909,0.274461370496586
1800,1840,Lincoln,210,1370,51,1370,LINCOLN,Kentucky,G2101370,Lincoln,210,1370,51,1370,LINCOLN,Kentucky,G2101370,2685955105.80162,952530456.039066,952530456.039066,0.354633796365999,1
1800,1840,Northumberland,510,1330,40,1330,NORTHUMBERLAND,Virginia,G5101330,Northumberland,510,1330,40,1330,NORTHUMBERLAND,Virginia,G5101330,508121917.767918,508121917.767918,508121917.767918,1,1
1800,1840,Indian Lands (No Population),470,0855,,,Indian Lands (No Population),Tennessee,G4700855,Madison,470,1130,54,1130,MADISON,Tennessee,G4701130,72335468810.2163,1701843130.98143,1701843130.98143,0.0235270906371878,1
1800,1840,Madison,210,1510,51,1510,MADISON,Kentucky,G2101510,Madison,210,1510,51,1510,MADISON,Kentucky,G2101510,6860095688.93562,1282731883.79751,1282731883.79751,0.186984546857908,1
1800,1840,Jefferson,385,0055,24,810,JEFFERSON,Northwest Territory,G3850055,Belmont,390,0130,24,130,BELMONT,Ohio,G3900130,6237500540.78036,1402187237.62118,1402187237.62119,0.22479953764393,1
1800,1840,Washington,385,0195,24,1670,WASHINGTON,Northwest Territory,G3850195,Summit,390,1530,24,1530,SUMMIT,Ohio,G3901530,22077789511.7333,1087953131.14536,146857961.450124,0.00665184172410357,0.134985558886637
1800,1840,Trumbull,385,0175,24,1550,TRUMBULL,Northwest Territory,G3850175,Summit,390,1530,24,1530,SUMMIT,Ohio,G3901530,13803168714.7827,1087953131.14536,919790744.245555,0.0666362024004308,0.845432324163845
1800,1840,Wayne,385,0225,24,1690,WAYNE,Northwest Territory,G3850225,Summit,390,1530,24,1530,SUMMIT,Ohio,G3901530,87354588746.7101,1087953131.14536,21304422.4131007,0.000243884410867918,0.0195821141584216
1800,1840,Knox,185,0115,,,,Indiana Territory,G1850115,Wayne,180,1770,22,1770,WAYNE,Indiana,G1801770,144594056125.754,1047242832.51245,736347434.287729,0.00509251523898966,0.703129600344124
1800,1840,Hamilton,385,0035,24,610,HAMILTON,Northwest Territory,G3850035,Wayne,180,1770,22,1770,WAYNE,Indiana,G1801770,17502257021.5581,1047242832.51245,310895398.224725,0.0177631603650766,0.296870399655878
1800,1840,Greene,420,0590,14,590,GREENE,Pennsylvania,G4200590,Greene,420,0590,14,590,GREENE,Pennsylvania,G4200590,1496875432.55274,1496875432.55274,1496875432.55274,1,1
1800,1840,Berkeley,510,0195,40,195,BERKELEY,Virginia,G5100195,Morgan,510,1215,40,1215,MORGAN,Virginia,G5101215,1793942050.84193,594836684.469703,413104322.333904,0.230277406196052,0.694483600489749
1800,1840,Hampshire,510,0833,40,835,HAMPSHIRE,Virginia,G5100833,Morgan,510,1215,40,1215,MORGAN,Virginia,G5101215,2703713366.97842,594836684.469703,181732362.135785,0.0672158389107952,0.305516399510228
1800,1840,Indian Lands,130,1535,,,Indian Lands,Georgia,G1301535,Madison,280,0890,46,890,MADISON,Mississippi,G2800890,258007915221.488,1921709498.01849,1921709498.01851,0.00744825792018361,1.00000000000001
1800,1840,Washington,250,0255,2,290,WASHINGTON,Massachusetts,G2500255,Washington,230,0290,2,290,WASHINGTON,Maine,G2300290,10338730969.0398,7346343545.76063,7199379092.4181,0.696350365821225,0.979994884199591
1800,1840,Hancock,250,0153,2,90,HANCOCK,Massachusetts,G2500153,Washington,230,0290,2,290,WASHINGTON,Maine,G2300290,32455182974.3764,7346343545.76063,146964450.89915,0.00452822746416742,0.0200051154678111
1800,1840,Unorganized,185,0315,,,,Indiana Territory,G1850315,La Salle,170,0990,21,990,LA SALLE,Illinois,G1700990,365637392255.945,4829015746.76793,2495308833.0393,0.00682454498880299,0.51673238686567
1800,1840,Knox,185,0115,,,,Indiana Territory,G1850115,La Salle,170,0990,21,990,LA SALLE,Illinois,G1700990,144594056125.754,4829015746.76793,2333706914.6535,0.0161397154017442,0.483267613325853
1800,1840,Grainger,470,0570,54,570,GRAINGER,Tennessee,G4700570,Claiborne,470,0250,54,250,CLAIBORNE,Tennessee,G4700250,2722516066.06037,1532297415.35818,1116551318.65168,0.410117439735586,0.728677936450529
1800,1840,Hawkins,470,0730,54,730,HAWKINS,Tennessee,G4700730,Claiborne,470,0250,54,250,CLAIBORNE,Tennessee,G4700250,1920790430.11687,1532297415.35818,227395017.915723,0.118386167668426,0.148401358402454
1800,1840,Indian Lands (No Population),470,0855,,,Indian Lands (No Population),Tennessee,G4700855,Claiborne,470,0250,54,250,CLAIBORNE,Tennessee,G4700250,72335468810.2163,1532297415.35818,188351078.790845,0.00260385509196069,0.12292070514706
1800,1840,Knox,185,0115,,,,Indiana Territory,G1850115,Fulton,180,0490,22,490,FULTON,Indiana,G1800490,144594056125.754,932124061.467279,932124061.467279,0.00644648947849285,1
1800,1840,Otsego,360,0770,13,770,OTSEGO,New York,G3600770,Delaware,360,0250,13,250,DELAWARE,New York,G3600250,2644729226.58633,3802175878.68107,49183035.2207235,0.0185966240801922,0.0129354971442785
