year_1,year_2,nhgisnam_1,nhgisst_1,nhgiscty_1,icpsrst_1,icpsrcty_1,icpsrnam_1,statenam_1,gisjoin_1,nhgisnam_2,nhgisst_2,nhgiscty_2,icpsrst_2,icpsrcty_2,icpsrnam_2,statenam_2,gisjoin_2,area_1,area_2,area_intersection,weight_value,weight_count
1790,1810,Montgomery,510,1210,40,1210,MONTGOMERY,Virginia,G5101210,Montgomery,510,1210,40,1210,MONTGOMERY,Virginia,G5101210,22950795527.9129,2704401009.2567,1245636606.10942,0.0542742235054322,0.460596117900349
1790,1810,Botetourt,510,0230,40,230,BOTETOURT,Virginia,G5100230,Montgomery,510,1210,40,1210,MONTGOMERY,Virginia,G5101210,6223462453.03444,2704401009.2567,1458764403.14731,0.234397558297479,0.539403882099665
1790,1810,Montgomery,240,0310,52,290,MONTGOMERY,Maryland,G2400310,Montgomery,240,0310,52,290,MONTGOMERY,Maryland,G2400310,1364690298.43553,1311045720.63835,1311045720.63835,0.960691024286845,1
1790,1810,Indian Lands,130,1535,,,Indian Lands,Georgia,G1301535,Wilkinson,130,3190,44,3190,WILKINSON,Georgia,G1303190,258095168426.44,1176077943.19612,1176077943.19608,0.00455676078853554,0.999999999999962
1790,1810,Southwest Territory,465,0000,,,,Southwest Territory,G4650000,Claiborne,470,0250,54,250,CLAIBORNE,Tennessee,G4700250,109977590789.755,1532297415.35818,1532297415.35823,0.0139328148976053,1.00000000000003
1790,1810,Woodford,510,1955,51,2390,WOODFORD,Virginia,G5101955,Gallatin,210,0770,51,770,GALLATIN,Kentucky,G2100770,5103720678.58553,1099819802.91106,757467834.751345,0.148414829582969,0.688719945527843
1790,1810,Jefferson (old),510,0955,51,1110,JEFFERSON,Virginia,G5100955,Gallatin,210,0770,51,770,GALLATIN,Kentucky,G2100770,4865539997.20119,1099819802.91106,342351971.558774,0.0703625849866008,0.311280057562721
1790,1810,Southwest Territory,465,0000,,,,Southwest Territory,G4650000,Humphreys,470,0850,54,850,HUMPHREYS,Tennessee,G4700850,109977590789.755,4387511578.79433,4387511578.79422,0.0398945962289888,0.999999999999976
1790,1810,Cumberland,510,0490,40,490,CUMBERLAND,Virginia,G5100490,Cumberland,510,0490,40,490,CUMBERLAND,Virginia,G5100490,776299022.994046,776299022.994046,776299022.994046,1,1
1790,1810,Hampshire,250,0150,3,150,HAMPSHIRE,Massachusetts,G2500150,Hampshire,250,0150,3,150,HAMPSHIRE,Massachusetts,G2500150,4930698597.08691,4925877907.07,4907630428.2807,0.995321521210028,0.996295588495379
1790,1810,Hartford,090,0030,1,30,HARTFORD,Connecticut,G0900030,Hampshire,250,0150,3,150,HAMPSHIRE,Massachusetts,G2500150,1858417905.73578,4925877907.07,18247478.7893596,0.00981882424455823,0.00370441150463136
1790,1810,Rowan,370,1590,47,1590,ROWAN,North Carolina,G3701590,Rowan,370,1590,47,1590,ROWAN,North Carolina,G3701590,3572822637.04362,3572822637.04362,3572822637.04362,1,1
1790,1810,Territory outline (No Population),385,0000,,,Territory outline (No Population),Northwest Territory,G3850000,Columbiana,390,0290,24,290,COLUMBIANA,Ohio,G3900290,711109632636.054,2204988644.19632,2204988644.19626,0.00310077172773269,0.999999999999974
1790,1810,Chatham,130,0510,44,510,CHATHAM,Georgia,G1300510,Bryan,130,0290,44,290,BRYAN,Georgia,G1300290,1598814301.53386,1269513283.47777,510412868.859169,0.319244622949328,0.402053980452191
1790,1810,Effingham,130,1030,44,1030,EFFINGHAM,Georgia,G1301030,Bryan,130,0290,44,290,BRYAN,Georgia,G1300290,5109745709.01839,1269513283.47777,759100414.618655,0.14855933305622,0.597946019547849
1790,1810,Queen Annes,240,0350,52,330,QUEEN ANNES,Maryland,G2400350,Queen Annes,240,0350,52,330,QUEEN ANNES,Maryland,G2400350,977359136.695962,977359136.695962,977359136.695962,1,1
1790,1810,Bristol,250,0050,3,50,BRISTOL,Massachusetts,G2500050,Bristol,250,0050,3,50,BRISTOL,Massachusetts,G2500050,1506544944.36951,1506544944.36951,1506544944.36951,1,1
1790,1810,Wayne,370,1910,47,1910,WAYNE,North Carolina,G3701910,Wayne,370,1910,47,1910,WAYNE,North Carolina,G3701910,1593358463.6654,1605926026.16114,1593358462.38267,0.999999999194952,0.992174257360711
1790,1810,Dobbs,370,0595,47,790,DOBBS/GREENE,North Carolina,G3700595,Wayne,370,1910,47,1910,WAYNE,North Carolina,G3701910,1696711651.01244,1605926026.16114,12567574.024223,0.0074070181675972,0.00782574901925272
1790,1810,Russell,510,1670,40,1670,RUSSELL,Virginia,G5101670,Lee,510,1050,40,1050,LEE,Virginia,G5101050,7510666018.64227,1643365386.52283,1643365386.5227,0.218804215557408,0.999999999999924
1790,1810,Nelson (old),510,1255,51,1790,NELSON,Virginia,G5101255,Nelson,210,1790,51,1790,NELSON,Kentucky,G2101790,16267265513.7432,1248739115.3098,1248739115.30981,0.0767639228765789,1.00000000000001
1790,1810,Cumberland,340,0110,12,110,CUMBERLAND,New Jersey,G3400110,Cumberland,340,0110,12,110,CUMBERLAND,New Jersey,G3400110,1355212420.76132,1355212420.76132,1355212420.76132,1,1
1790,1810,Suffolk,360,1030,13,1030,SUFFOLK,New York,G3601030,Suffolk,360,1030,13,1030,SUFFOLK,New York,G3601030,2416189172.24299,2416189172.24299,2416189172.24299,1,1
1790,1810,Salem,340,0330,12,330,SALEM,New Jersey,G3400330,Salem,340,0330,12,330,SALEM,New Jersey,G3400330,902475628.327232,902475628.327232,902475628.327232,1,1
1790,1810,Marlboro,450,0690,48,690,MARLBORO,South Carolina,G4500690,Marlboro,450,0690,48,690,MARLBORO,South Carolina,G4500690,5550678043.69929,1256871236.35712,1256871236.35708,0.226435622182012,0.999999999999968
1790,1810,Botetourt,510,0230,40,230,BOTETOURT,Virginia,G5100230,Botetourt,510,0230,40,230,BOTETOURT,Virginia,G5100230,6223462453.03444,3451149884.00124,3451149884.00096,0.554538556317351,0.999999999999918
1790,1810,Georgetown,450,0430,48,430,GEORGETOWN,South Carolina,G4500430,Williamsburg,450,0890,48,890,WILLIAMSBURG,South Carolina,G4500890,11252435533.4007,2950899678.72553,2950899678.72573,0.262245419666396,1.00000000000007
1790,1810,Washington,510,1910,40,1910,WASHINGTON,Virginia,G5101910,Washington,510,1910,40,1910,WASHINGTON,Virginia,G5101910,2387235505.38366,2387235505.38366,2387235505.38366,1,1
1790,1810,Allegheny,420,0030,14,30,ALLEGHENY,Pennsylvania,G4200030,Armstrong,420,0050,14,50,ARMSTRONG,Pennsylvania,G4200050,14978931835.0191,2575985669.11491,497381226.442999,0.0332053868674519,0.193083848410498
1790,1810,Westmoreland,420,1290,14,1290,WESTMORELAND,Pennsylvania,G4201290,Armstrong,420,0050,14,50,ARMSTRONG,Pennsylvania,G4200050,4878499118.09988,2575985669.11491,642334161.862753,0.131666347848585,0.24935471092254
1790,1810,Northumberland,420,0970,14,970,NORTHUMBERLAND,Pennsylvania,G4200970,Armstrong,420,0050,14,50,ARMSTRONG,Pennsylvania,G4200050,32256508768.8232,2575985669.11491,1436270280.80927,0.0445265261378028,0.557561440667007
1790,1810,Dutchess,360,0270,13,270,DUTCHESS,New York,G3600270,Columbia,360,0210,13,210,COLUMBIA,New York,G3600210,2776362187.27675,1679000139.91489,881281.753266857,0.000317423194029047,0.000524884859933085
1790,1810,Columbia,360,0210,13,210,COLUMBIA,New York,G3600210,Columbia,360,0210,13,210,COLUMBIA,New York,G3600210,1678118858.16161,1679000139.91489,1678118858.16161,1,0.999475115140059
1790,1810,Madison (old),510,1131,51,1510,MADISON,Virginia,G5101131,Garrard,210,0790,51,790,GARRARD,Kentucky,G2100790,5442232652.50736,605739199.975621,213738569.983651,0.0392740596793811,0.35285576695755
1790,1810,Mercer (old),510,1177,51,1670,MERCER,Virginia,G5101177,Garrard,210,0790,51,790,GARRARD,Kentucky,G2100790,1480093618.17524,605739199.975621,115517015.060352,0.0780471002927295,0.190704209113429
1790,1810,Lincoln,510,1055,51,1370,LINCOLN,Virginia,G5101055,Garrard,210,0790,51,790,GARRARD,Kentucky,G2100790,44446412172.6232,605739199.975621,276483618.13087,0.0062206059975561,0.456440029210587
1790,1810,Territory outline (No Population),385,0000,,,Territory outline (No Population),Northwest Territory,G3850000,Adams,390,0010,24,10,ADAMS,Ohio,G3900010,711109632636.054,1882140248.29781,1882140248.29784,0.0026467652270731,1.00000000000001
